Unnamed: 0,Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys,Yield combined,Reagents as SMILES,Reagents Not Converted,Reactants.Reagents>>Products,Reactants,Products,Reactants + Reagents
41005846;,41005846.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=46425039&database=RX&origin=ReaxysOutput&ln=,(2753 of 3694),1,63,full reaction,"formaldehyd; 3-[6-[tert-butyl(dimethyl)silyl]oxy-1,3-benzodioxol-5-yl]-1-[[5-(trifluoromethyl)-2-furyl]methyl]indolin-2-one","3-[6-[tert-butyl(dimethyl)silyl]oxy-1,3-benzodioxol-5-yl]-3-(hydroxymethyl)-1-[[5-(trifluoromethyl)-2-furyl]methyl]indolin-2-one; 3-[6-[tert-butyl(dimethyl)silyl]oxy-1,3-benzodioxol-5-yl]-3-(hydroxymethyl)-1-[[5-(trifluoromethyl)-2-furyl]methyl]indolin-2-one",255333; 22745,C=O.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.C=O>>CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12,Chemical behaviour,None,None,None,1,None,None,None,None,47,25,None,None,Inert atmosphere; Large scale,Aldol Addition,Catalytic behavior,Solvent; Reagent/catalyst; Concentration,None,Experimental part,None,enantioselective reaction,"3-[6-[tert-butyl(dimethyl)silyl]oxy-1,3-benzodioxol-5-yl]-3-(hydroxymethyl)-1-[[5-(trifluoromethyl)-2-furyl]methyl]indolin-2-one",58.0 percent,58,70.5 percent ee,None,"1-[3,5-bis(trifluoromethyl)phenyl]-3-{(S)[(2S,4S,5R)-5-ethyl-1-aza-bicyclo[2.2.2]oct-2-yl]-(6-methoxy-4-quinolinyl)methyl}thiourea",None,n-heptane; water,"Article; Sclafani, Joseph A.; Chen, Jian; Levy, Daniel V.; Reese, Harlan; Dimitri, Mina; Mudipalli, Partha; Christie, Michael; Neville, Christopher J.; Olsen, Mark; Bakale, Roger P.; Organic Process Research and Development; vol. 21; 10; (2017); p. 1616 - 1624;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=72403690&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,58.0 percent5870.5 percent ee,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](NC(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccnc5ccc(OC)cc45,,C=O.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.C=O.CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](NC(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccnc5ccc(OC)cc45>>CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12,C=O.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.C=O,CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1[C@]1(CO)C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12,C=O.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.CC(C)(C)[Si](C)(C)OC1=CC2=C(OCO2)C=C1C1C(=O)N(CC2=CC=C(O2)C(F)(F)F)C2=CC=CC=C12.C=O.CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](NC(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccnc5ccc(OC)cc45
33335127;,33335127.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=39706337&database=RX&origin=ReaxysOutput&ln=,(601 of 3694),2,78,full reaction; has preparation,"formaldehyd; 4-methyl-N-((2-(1-(phenylsulfonyl)-1H-pyrrol-3-yl)-1,3-dioxolan-2-yl)methyl)benzenesulfonamide","1-(phenylsulfonyl)-6-tosyl-6,7-dihydro-1H-pyrrolo[2,3-c]pyridin-4(5H)-one",40282,C=O.CC1=CC=C(C=C1)S(=O)(=O)NCC1(OCCO1)C1=CN(C=C1)S(=O)(=O)C1=CC=CC=C1>>CC1=CC=C(C=C1)S(=O)(=O)N1CC2=C(C=CN2S(=O)(=O)C2=CC=CC=C2)C(=O)C1,Preparation,None,None,None,1,None,None,None,None,1,20,None,None,Industrial scale,Pictet-Spengler Synthesis,None,None,None,Experimental part,None,None,"1-(phenylsulfonyl)-6-tosyl-6,7-dihydro-1H-pyrrolo[2,3-c]pyridin-4(5H)-one",81.3 percent,81.3,None,None,trifluoroacetic acid,None,dichloromethane,"Article; Bultman, Michael S.; Fan, Junying; Fanfair, Dayne; Soltani, Michelle; Simpson, James; Murugesan, Saravanababu; Soumeillant, Maxime; Chen, Ke; Risatti, Christina; La Cruz, Thomas E.; Buono, Frederic G.; Hung, Victor; Schild, Richard L.; Ivy, Sabrina; Sweeney, Jason T.; Conlon, David A.; Eastgate, Martin D.; Organic Process Research and Development; vol. 21; 8; (2017); p. 1131 - 1136;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=71852521&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,81.3 percent81.3None,OC(=O)C(F)(F)F,,C=O.CC1=CC=C(C=C1)S(=O)(=O)NCC1(OCCO1)C1=CN(C=C1)S(=O)(=O)C1=CC=CC=C1.OC(=O)C(F)(F)F>>CC1=CC=C(C=C1)S(=O)(=O)N1CC2=C(C=CN2S(=O)(=O)C2=CC=CC=C2)C(=O)C1,C=O.CC1=CC=C(C=C1)S(=O)(=O)NCC1(OCCO1)C1=CN(C=C1)S(=O)(=O)C1=CC=CC=C1,CC1=CC=C(C=C1)S(=O)(=O)N1CC2=C(C=CN2S(=O)(=O)C2=CC=CC=C2)C(=O)C1,C=O.CC1=CC=C(C=C1)S(=O)(=O)NCC1(OCCO1)C1=CN(C=C1)S(=O)(=O)C1=CC=CC=C1.OC(=O)C(F)(F)F
46103367;,46103367.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500455&database=RX&origin=ReaxysOutput&ln=,(708 of 3523),1,74,full reaction; has preparation,formaldehyd; Glyoxal; N-butylamine,"1,3-di-n-butyl-imidazolium tetrafluoroborate",138429,C=O.O=CC=O.CCCCN.CCCCN>>F[B](F)(F)F.CCCCN1C=C[N+](CCCC)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,"1,3-di-n-butyl-imidazolium tetrafluoroborate",65 percent,65,None,formaldehyd; N-butylamine; Glyoxal; N-butylamine,tetrafluoroboric acid,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,65 percent65None,[H+].F[B-](F)(F)F,,C=O.O=CC=O.CCCCN.CCCCN.[H+].F[B-](F)(F)F>>F[B](F)(F)F.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN.CCCCN,F[B](F)(F)F.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN.CCCCN.[H+].F[B-](F)(F)F
46103377;,46103377.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500451&database=RX&origin=ReaxysOutput&ln=,(655 of 3523),1,75,full reaction; has preparation,formaldehyd; Glyoxal; N-butylamine,"1,3-dibutylimidazolium nitrate",132230,C=O.O=CC=O.CCCCN>>[O-]N(=O)=O.CCCCN1C=C[N+](CCCC)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,"1,3-dibutylimidazolium nitrate",79 percent,79,None,formaldehyd; N-butylamine; N-butylamine; Glyoxal,nitric acid,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,79 percent79None,O[N+]([O-])=O,,C=O.O=CC=O.CCCCN.O[N+]([O-])=O>>[O-]N(=O)=O.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN,[O-]N(=O)=O.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN.O[N+]([O-])=O
46103366;,46103366.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500452&database=RX&origin=ReaxysOutput&ln=,(707 of 3523),1,74,full reaction; has preparation,formaldehyd; Glyoxal; N-butylamine,C11H21N2(1+)*HO4S(1-),132230,C=O.O=CC=O.CCCCN>>OS([O-])(=O)=O.CCCCN1C=C[N+](CCCC)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,C11H21N2(1+)*HO4S(1-),73 percent,73,None,formaldehyd; N-butylamine; N-butylamine; Glyoxal,sulfuric acid,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,73 percent73None,O[S](O)(=O)=O,,C=O.O=CC=O.CCCCN.O[S](O)(=O)=O>>OS([O-])(=O)=O.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN,OS([O-])(=O)=O.CCCCN1C=C[N+](CCCC)=C1,C=O.O=CC=O.CCCCN.O[S](O)(=O)=O
32125807;,32125807.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500457&database=RX&origin=ReaxysOutput&ln=,(600 of 3523),1,76,full reaction; has preparation,formaldehyd; Glyoxal; methylamine,"1,3-dimethylimidazolium nitrate",132230,C=O.O=CC=O.CN>>[O-]N(=O)=O.CN1C=C[N+](C)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,"1,3-dimethylimidazolium nitrate",85 percent,85,None,formaldehyd; methylamine; methylamine; Glyoxal,nitric acid,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,85 percent85None,O[N+]([O-])=O,,C=O.O=CC=O.CN.O[N+]([O-])=O>>[O-]N(=O)=O.CN1C=C[N+](C)=C1,C=O.O=CC=O.CN,[O-]N(=O)=O.CN1C=C[N+](C)=C1,C=O.O=CC=O.CN.O[N+]([O-])=O
28465190;,28465190.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500458&database=RX&origin=ReaxysOutput&ln=,(709 of 3523),1,74,full reaction; has preparation,formaldehyd; Glyoxal; methylamine,1-methyl-3-methylimidazolium hydrogen sulfate,132230,C=O.O=CC=O.CN>>OS([O-])(=O)=O.CN1C=C[N+](C)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,1-methyl-3-methylimidazolium hydrogen sulfate,70 percent,70,None,formaldehyd; methylamine; methylamine; Glyoxal,sulfuric acid,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,70 percent70None,O[S](O)(=O)=O,,C=O.O=CC=O.CN.O[S](O)(=O)=O>>OS([O-])(=O)=O.CN1C=C[N+](C)=C1,C=O.O=CC=O.CN,OS([O-])(=O)=O.CN1C=C[N+](C)=C1,C=O.O=CC=O.CN.O[S](O)(=O)=O
52157888;,52157888.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=51851524&database=RX&origin=ReaxysOutput&ln=,(1989 of 5000),1,71,full reaction; has preparation,"quinoline; N,N-dimethyl acetamide","2,4-bis[(N-methyl-N-acetylamino)methyl]quinoline; 4-(N-acetyl,N-methylamino)methylquinoline",129899; 300880,C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.CN(C)C(C)=O>>CN(CC1=NC2=CC=CC=C2C(CN(C)C(C)=O)=C1)C(C)=O.CN(CC1=CC=NC2=C1C=CC=C2)C(C)=O,Preparation,None,None,None,1,None,None,None,None,0.25,80,None,&#60; 3,None,Minisci Aromatic Substitution,None,None,None,Body text,None,None,"2,4-bis[(N-methyl-N-acetylamino)methyl]quinoline; 4-(N-acetyl,N-methylamino)methylquinoline",43 percent; 31 percent,43; 31,None,None,sodium persulfate,None,water-d2,"Article; Truscello, Ada M.; Gambarotti, Cristian; Organic Process Research and Development; vol. 23; 7; (2019); p. 1450 - 1457;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77149452&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,43 percent; 31 percent43; 31None,[Na+].[Na+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O,,C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.CN(C)C(C)=O.[Na+].[Na+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O>>CN(CC1=NC2=CC=CC=C2C(CN(C)C(C)=O)=C1)C(C)=O.CN(CC1=CC=NC2=C1C=CC=C2)C(C)=O,C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.CN(C)C(C)=O,CN(CC1=NC2=CC=CC=C2C(CN(C)C(C)=O)=C1)C(C)=O.CN(CC1=CC=NC2=C1C=CC=C2)C(C)=O,C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.C1=CC=C2N=CC=CC2=C1.CN(C)C(C)=O.CN(C)C(C)=O.[Na+].[Na+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O
39224117;,39224117.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1388941&database=RX&origin=ReaxysOutput&ln=,(202 of 3694),20,95,full reaction; has preparation,adamantane; acetonitrile,N-(1-adamantyl)acetamide,177076,C1C2CC3CC1CC(C2)C3.CC#N>>CC(=O)NC12CC3CC(CC(C3)C1)C2,Preparation,None,None,None,1,None,None,None,None,4.5,25 - 65,None,None,Large scale; Green chemistry,Ritter Amidation,None,Temperature; Time,None,Experimental part,supporting information,None,N-(1-adamantyl)acetamide,82 percent,82,None,None,sulfuric acid,None,None,"Article; Vu, Duong Binh; Nguyen, Thinh Van; Le, Son Trung; Phan, Chau DInh; Organic Process Research and Development; vol. 21; 11; (2017); p. 1758 - 1760;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=72657853&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,82 percent82None,O[S](O)(=O)=O,,C1C2CC3CC1CC(C2)C3.CC#N.O[S](O)(=O)=O>>CC(=O)NC12CC3CC(CC(C3)C1)C2,C1C2CC3CC1CC(C2)C3.CC#N,CC(=O)NC12CC3CC(CC(C3)C1)C2,C1C2CC3CC1CC(C2)C3.CC#N.O[S](O)(=O)=O
38166208;,38166208.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52398692&database=RX&origin=ReaxysOutput&ln=,(1452 of 5000),1,75,full reaction; has preparation,"4-phenylpiperidine; 3-bromo-5,6-dihydro-4H-pyrrolo<1,2-b>pyrazole","3-(4-phenylpiperidin-1-yl)-5,6-dihydro-4H-pyrrolo[1,2-b]-pyrazole",278219,C1CC(CCN1)C1=CC=CC=C1.BrC1=C2CCCN2N=C1>>C1CN2N=CC(N3CCC(CC3)C3=CC=CC=C3)=C2C1,Preparation,None,None,None,1,None,None,None,None,18,40,None,None,Sealed tube; Inert atmosphere,Buchwald-Hartwig Coupling,None,None,None,Experimental part,None,None,"3-(4-phenylpiperidin-1-yl)-5,6-dihydro-4H-pyrrolo[1,2-b]-pyrazole",67 percent,67,None,None,sodium t-butanolate,None,tetrahydrofuran,"Article; Sather, Aaron C.; Martinot, Theodore A.; Organic Process Research and Development; vol. 23; 8; (2019); p. 1725 - 1739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632309&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,67 percent67None,[Na+].CC(C)(C)[O-],,C1CC(CCN1)C1=CC=CC=C1.BrC1=C2CCCN2N=C1.[Na+].CC(C)(C)[O-]>>C1CN2N=CC(N3CCC(CC3)C3=CC=CC=C3)=C2C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=C2CCCN2N=C1,C1CN2N=CC(N3CCC(CC3)C3=CC=CC=C3)=C2C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=C2CCCN2N=C1.[Na+].CC(C)(C)[O-]
36572834;,36572834.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52398689&database=RX&origin=ReaxysOutput&ln=,(1144 of 5000),1,77,full reaction; has preparation,"4-phenylpiperidine; 2-bromothieno<3,2-b>pyridine","2-(4-phenylpiperidin-1-yl)thieno[3,2-b]pyridine",278028,C1CC(CCN1)C1=CC=CC=C1.BrC1=CC2=NC=CC=C2S1>>C1CN(CCC1C1=CC=CC=C1)C1=CC2=NC=CC=C2S1,Preparation,None,None,None,1,None,None,None,None,15,40,None,None,Sealed tube; Inert atmosphere,Buchwald-Hartwig Coupling,None,None,None,Experimental part,None,None,"2-(4-phenylpiperidin-1-yl)thieno[3,2-b]pyridine",88 percent,88,None,None,sodium t-butanolate,None,tetrahydrofuran,"Article; Sather, Aaron C.; Martinot, Theodore A.; Organic Process Research and Development; vol. 23; 8; (2019); p. 1725 - 1739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632309&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,88 percent88None,[Na+].CC(C)(C)[O-],,C1CC(CCN1)C1=CC=CC=C1.BrC1=CC2=NC=CC=C2S1.[Na+].CC(C)(C)[O-]>>C1CN(CCC1C1=CC=CC=C1)C1=CC2=NC=CC=C2S1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CC2=NC=CC=C2S1,C1CN(CCC1C1=CC=CC=C1)C1=CC2=NC=CC=C2S1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CC2=NC=CC=C2S1.[Na+].CC(C)(C)[O-]
40489369;,40489369.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52398690&database=RX&origin=ReaxysOutput&ln=,(1145 of 5000),1,77,full reaction; has preparation,4-phenylpiperidine; 4-bromo-1-(triphenylmethyl)-1H-imidazole,4-phenyl-1-(1-trityl-1H-imidazol-4-yl)piperidine,278188,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>C1CN(CCC1C1=CC=CC=C1)C1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,Preparation,None,None,None,1,None,None,None,None,15,40,None,None,Sealed tube; Inert atmosphere,Buchwald-Hartwig Coupling,None,None,None,Experimental part,None,None,4-phenyl-1-(1-trityl-1H-imidazol-4-yl)piperidine,95 percent,95,None,None,sodium t-butanolate,None,tetrahydrofuran,"Article; Sather, Aaron C.; Martinot, Theodore A.; Organic Process Research and Development; vol. 23; 8; (2019); p. 1725 - 1739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632309&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,95 percent95None,[Na+].CC(C)(C)[O-],,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].CC(C)(C)[O-]>>C1CN(CCC1C1=CC=CC=C1)C1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C1CN(CCC1C1=CC=CC=C1)C1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[Na+].CC(C)(C)[O-]
35438205;,35438205.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52398708&database=RX&origin=ReaxysOutput&ln=,(2680 of 5000),1,67,full reaction,4-phenylpiperidine; 4-bromo-1-phenyl-1H-pyrazole,4-phenyl-1-(1-phenyl-1H-pyrazol-4-yl)piperidine,278223,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(N=C1)C1=CC=CC=C1>>C1CN(CCC1C1=CC=CC=C1)C1=CN(N=C1)C1=CC=CC=C1,Chemical behaviour,None,None,None,1,None,None,None,None,19,40,None,None,Sealed tube; Inert atmosphere,Buchwald-Hartwig Coupling,Catalytic behavior,Reagent/catalyst; Solvent; Time; Temperature,None,Experimental part,supporting information,None,4-phenyl-1-(1-phenyl-1H-pyrazol-4-yl)piperidine,88 percent,88,None,None,sodium t-butanolate,None,tetrahydrofuran,"Article; Sather, Aaron C.; Martinot, Theodore A.; Organic Process Research and Development; vol. 23; 8; (2019); p. 1725 - 1739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632309&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,88 percent88None,[Na+].CC(C)(C)[O-],,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(N=C1)C1=CC=CC=C1.[Na+].CC(C)(C)[O-]>>C1CN(CCC1C1=CC=CC=C1)C1=CN(N=C1)C1=CC=CC=C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(N=C1)C1=CC=CC=C1,C1CN(CCC1C1=CC=CC=C1)C1=CN(N=C1)C1=CC=CC=C1,C1CC(CCN1)C1=CC=CC=C1.BrC1=CN(N=C1)C1=CC=CC=C1.[Na+].CC(C)(C)[O-]
38166219;,38166219.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52398698&database=RX&origin=ReaxysOutput&ln=,(1810 of 5000),1,72,full reaction; has preparation,4-phenylpiperidine; 3-(4-bromo-1-((2-(trimethylsilyl)ethoxy)methyl)-1H-pyrazol-3-yl)pyridine,3-(4-(4-phenylpiperidin-1-yl)-1-((2-(trimethylsilyl)ethoxy)-methyl)-1H-pyrazol-3-yl)pyridine,278221,C1CC(CCN1)C1=CC=CC=C1.C[Si](C)(C)CCOCN1C=C(Br)C(=N1)C1=CC=CN=C1>>C[Si](C)(C)CCOCN1C=C(N2CCC(CC2)C2=CC=CC=C2)C(=N1)C1=CC=CN=C1,Preparation,None,None,None,1,None,None,None,None,16,40,None,None,Sealed tube; Inert atmosphere,Buchwald-Hartwig Coupling,None,None,None,Experimental part,None,None,3-(4-(4-phenylpiperidin-1-yl)-1-((2-(trimethylsilyl)ethoxy)-methyl)-1H-pyrazol-3-yl)pyridine,36percent,36,None,None,sodium t-butanolate,None,tetrahydrofuran,"Article; Sather, Aaron C.; Martinot, Theodore A.; Organic Process Research and Development; vol. 23; 8; (2019); p. 1725 - 1739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632309&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,36percent36None,[Na+].CC(C)(C)[O-],,C1CC(CCN1)C1=CC=CC=C1.C[Si](C)(C)CCOCN1C=C(Br)C(=N1)C1=CC=CN=C1.[Na+].CC(C)(C)[O-]>>C[Si](C)(C)CCOCN1C=C(N2CCC(CC2)C2=CC=CC=C2)C(=N1)C1=CC=CN=C1,C1CC(CCN1)C1=CC=CC=C1.C[Si](C)(C)CCOCN1C=C(Br)C(=N1)C1=CC=CN=C1,C[Si](C)(C)CCOCN1C=C(N2CCC(CC2)C2=CC=CC=C2)C(=N1)C1=CC=CN=C1,C1CC(CCN1)C1=CC=CC=C1.C[Si](C)(C)CCOCN1C=C(Br)C(=N1)C1=CC=CN=C1.[Na+].CC(C)(C)[O-]
